n,m,$BSC_{TE}$,$BSC_{TM}$
14,-1,(-3.8072750226208366e-37-1.5144016081532334e-37j),(7.372709529797018e-11+4.2534789111077463e-11j)
14,0,(-3.8072750226208366e-37-1.5144016081532334e-37j),(7.372709529797018e-11+4.2534789111077463e-11j)
14,1,(-3.8072750226208366e-37-1.5144016081532334e-37j),(7.372709529797018e-11+4.2534789111077463e-11j)
14,2,(-3.8072750226208366e-37-1.5144016081532334e-37j),(7.372709529797018e-11+4.2534789111077463e-11j)
15,-3,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
15,-2,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
15,-1,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
15,0,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
15,1,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
15,2,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
16,-3,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
16,-2,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
16,-1,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
16,0,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
16,1,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
16,2,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
17,-3,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
17,-2,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
17,-1,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
17,0,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
17,1,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
17,2,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
18,-3,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
18,-2,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
18,-1,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
18,0,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
18,1,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
18,2,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
19,-3,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
19,-2,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
19,-1,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
19,0,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
19,1,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
19,2,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
20,-3,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
20,-2,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
20,-1,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
20,0,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
20,1,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
20,2,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
21,-3,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
21,-2,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
21,-1,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
21,0,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
21,1,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
21,2,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
22,-3,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
22,-2,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
22,-1,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
22,0,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
22,1,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
22,2,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
23,-3,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
23,-2,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
23,-1,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
23,0,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
23,1,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
23,2,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
24,-3,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
24,-2,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
24,-1,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
24,0,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
24,1,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
24,2,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
25,-3,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
25,-2,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
25,-1,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
25,0,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
25,1,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
25,2,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
26,-3,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
26,-2,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
26,-1,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
26,0,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
26,1,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
26,2,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
27,-3,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
27,-2,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
27,-1,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
27,0,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
27,1,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
27,2,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
